Total states: 9901
Time      Preys     Predators   H         
------------------------------------------
1.58      0.0655258 3.366       3.51301   
1.59      0.0642547 3.34562     3.51315   
1.6       0.0630184 3.32535     3.51327   
1.61      0.0618159 3.30519     3.5134    
1.62      0.0606459 3.28514     3.51353   
1.63      0.0595076 3.2652      3.51365   
1.64      0.0583999 3.24537     3.51377   
1.65      0.0573218 3.22565     3.51389   
1.66      0.0562725 3.20605     3.51401   
1.67      0.0552509 3.18655     3.51413   
1.68      0.0542562 3.16716     3.51424   
1.69      0.0532876 3.14789     3.51436   
1.7       0.0523443 3.12872     3.51447   
1.71      0.0514255 3.10966     3.51458   
1.72      0.0505305 3.0907      3.51469   
1.73      0.0496585 3.07186     3.51479   
1.74      0.0488088 3.05312     3.5149    
1.75      0.0479807 3.03449     3.515     
1.76      0.0471737 3.01597     3.5151    
1.77      0.0463871 2.99755     3.5152    
1.78      0.0456202 2.97924     3.5153    
1.79      0.0448724 2.96103     3.5154    
1.8       0.0441433 2.94293     3.5155    
1.81      0.0434323 2.92494     3.51559   
1.82      0.0427388 2.90704     3.51568   
1.83      0.0420623 2.88926     3.51578   
1.84      0.0414023 2.87157     3.51587   
1.85      0.0407584 2.85399     3.51596   
1.86      0.0401301 2.83651     3.51604   
1.87      0.0395169 2.81913     3.51613   
1.88      0.0389185 2.80186     3.51621   
1.89      0.0383343 2.78469     3.5163    
1.9       0.037764  2.76761     3.51638   
1.91      0.0372072 2.75064     3.51646   
1.92      0.0366636 2.73377     3.51654   
1.93      0.0361326 2.71699     3.51662   
1.94      0.0356141 2.70032     3.5167    
1.95      0.0351077 2.68374     3.51677   
1.96      0.034613  2.66726     3.51685   
1.97      0.0341297 2.65088     3.51692   
1.98      0.0336575 2.6346      3.517     
1.99      0.0331961 2.61841     3.51707   
2         0.0327452 2.60232     3.51714   
2.01      0.0323045 2.58632     3.51721   
2.02      0.0318737 2.57042     3.51728   
2.03      0.0314527 2.55462     3.51735   
2.04      0.0310411 2.53891     3.51741   
2.05      0.0306386 2.52329     3.51748   
2.06      0.0302451 2.50776     3.51754   
2.07      0.0298604 2.49233     3.51761   
2.08      0.0294841 2.47699     3.51767   
2.09      0.029116  2.46174     3.51773   
2.1       0.028756  2.44659     3.51779   
2.11      0.0284038 2.43152     3.51785   
2.12      0.0280593 2.41655     3.51791   
2.13      0.0277223 2.40166     3.51797   
2.14      0.0273924 2.38687     3.51803   
2.15      0.0270697 2.37216     3.51809   
2.16      0.0267539 2.35754     3.51814   
2.17      0.0264448 2.34301     3.5182    
2.18      0.0261422 2.32857     3.51825   
2.19      0.0258461 2.31421     3.5183    
2.2       0.0255562 2.29994     3.51836   
2.21      0.0252723 2.28576     3.51841   
2.22      0.0249945 2.27166     3.51846   
2.23      0.0247224 2.25765     3.51851   
2.24      0.024456  2.24372     3.51856   
2.25      0.0241951 2.22988     3.51861   
2.26      0.0239395 2.21612     3.51865   
2.27      0.0236893 2.20244     3.5187    
2.28      0.0234442 2.18885     3.51875   
2.29      0.0232041 2.17534     3.51879   
2.3       0.0229689 2.16191     3.51884   
2.31      0.0227384 2.14857     3.51888   
2.32      0.0225127 2.1353      3.51893   
2.33      0.0222915 2.12211     3.51897   
2.34      0.0220748 2.10901     3.51901   
2.35      0.0218624 2.09598     3.51906   
2.36      0.0216543 2.08303     3.5191    
2.37      0.0214504 2.07017     3.51914   
2.38      0.0212505 2.05738     3.51918   
2.39      0.0210546 2.04467     3.51922   
2.4       0.0208626 2.03203     3.51926   
2.41      0.0206744 2.01947     3.5193    
2.42      0.0204899 2.00699     3.51933   
2.43      0.020309  1.99459     3.51937   
2.44      0.0201317 1.98226     3.51941   
2.45      0.0199579 1.97001     3.51945   
2.46      0.0197875 1.95783     3.51948   
2.47      0.0196204 1.94572     3.51952   
2.48      0.0194565 1.93369     3.51955   
2.49      0.0192959 1.92173     3.51959   
2.5       0.0191384 1.90985     3.51962   
2.51      0.0189839 1.89804     3.51965   
2.52      0.0188324 1.8863      3.51969   
2.53      0.0186839 1.87463     3.51972   
2.54      0.0185382 1.86304     3.51975   
2.55      0.0183953 1.85151     3.51978   
2.56      0.0182552 1.84006     3.51981   
2.57      0.0181178 1.82867     3.51984   
2.58      0.017983  1.81736     3.51987   
2.59      0.0178508 1.80611     3.5199    
2.6       0.0177211 1.79494     3.51993   
2.61      0.0175939 1.78383     3.51996   
2.62      0.0174692 1.77279     3.51999   
2.63      0.0173468 1.76182     3.52002   
2.64      0.0172268 1.75091     3.52005   
2.65      0.017109  1.74007     3.52008   
2.66      0.0169935 1.7293      3.5201    
2.67      0.0168803 1.7186      3.52013   
2.68      0.0167691 1.70796     3.52016   
2.69      0.0166601 1.69738     3.52018   
2.7       0.0165532 1.68687     3.52021   
2.71      0.0164483 1.67643     3.52024   
2.72      0.0163454 1.66605     3.52026   
2.73      0.0162445 1.65573     3.52029   
2.74      0.0161455 1.64548     3.52031   
2.75      0.0160484 1.63529     3.52033   
2.76      0.0159531 1.62516     3.52036   
2.77      0.0158597 1.6151      3.52038   
2.78      0.0157681 1.60509     3.52041   
2.79      0.0156782 1.59515     3.52043   
2.8       0.01559   1.58527     3.52045   
2.81      0.0155036 1.57545     3.52048   
2.82      0.0154188 1.56569     3.5205    
2.83      0.0153356 1.55599     3.52052   
2.84      0.015254  1.54635     3.52054   
2.85      0.0151741 1.53677     3.52056   
2.86      0.0150956 1.52725     3.52058   
2.87      0.0150187 1.51779     3.52061   
2.88      0.0149433 1.50839     3.52063   
2.89      0.0148694 1.49904     3.52065   
2.9       0.0147969 1.48975     3.52067   
2.91      0.0147258 1.48052     3.52069   
2.92      0.0146561 1.47135     3.52071   
2.93      0.0145878 1.46223     3.52073   
2.94      0.0145209 1.45317     3.52075   
2.95      0.0144553 1.44416     3.52077   
2.96      0.014391  1.43521     3.52079   
2.97      0.014328  1.42632     3.52081   
2.98      0.0142662 1.41748     3.52083   
2.99      0.0142057 1.40869     3.52084   
3         0.0141464 1.39996     3.52086   
3.01      0.0140884 1.39128     3.52088   
3.02      0.0140315 1.38266     3.5209    
3.03      0.0139758 1.37409     3.52092   
3.04      0.0139213 1.36557     3.52093   
3.05      0.0138678 1.3571      3.52095   
3.06      0.0138155 1.34869     3.52097   
3.07      0.0137643 1.34033     3.52099   
3.08      0.0137142 1.33202     3.521     
3.09      0.0136652 1.32376     3.52102   
3.1       0.0136172 1.31556     3.52104   
3.11      0.0135703 1.3074      3.52106   
3.12      0.0135243 1.29929     3.52107   
3.13      0.0134794 1.29124     3.52109   
3.14      0.0134355 1.28323     3.52111   
3.15      0.0133925 1.27528     3.52112   
3.16      0.0133506 1.26737     3.52114   
3.17      0.0133095 1.25951     3.52115   
3.18      0.0132694 1.2517      3.52117   
3.19      0.0132303 1.24394     3.52119   
3.2       0.013192  1.23622     3.5212    
3.21      0.0131547 1.22856     3.52122   
3.22      0.0131182 1.22094     3.52123   
3.23      0.0130827 1.21337     3.52125   
3.24      0.013048  1.20584     3.52126   
3.25      0.0130141 1.19837     3.52128   
3.26      0.0129811 1.19094     3.52129   
3.27      0.0129489 1.18355     3.52131   
3.28      0.0129176 1.17621     3.52132   
3.29      0.012887  1.16891     3.52134   
3.3       0.0128573 1.16167     3.52135   
3.31      0.0128284 1.15446     3.52137   
3.32      0.0128002 1.1473      3.52138   
3.33      0.0127728 1.14019     3.5214    
3.34      0.0127462 1.13311     3.52141   
3.35      0.0127204 1.12609     3.52143   
3.36      0.0126952 1.1191      3.52144   
3.37      0.0126709 1.11216     3.52145   
3.38      0.0126472 1.10526     3.52147   
3.39      0.0126243 1.09841     3.52148   
3.4       0.0126021 1.09159     3.5215    
3.41      0.0125806 1.08482     3.52151   
3.42      0.0125598 1.07809     3.52152   
3.43      0.0125397 1.07141     3.52154   
3.44      0.0125203 1.06476     3.52155   
3.45      0.0125016 1.05816     3.52157   
3.46      0.0124835 1.05159     3.52158   
3.47      0.0124661 1.04507     3.52159   
3.48      0.0124493 1.03859     3.52161   
3.49      0.0124332 1.03214     3.52162   
3.5       0.0124178 1.02574     3.52163   
3.51      0.012403  1.01938     3.52165   
3.52      0.0123888 1.01306     3.52166   
3.53      0.0123752 1.00677     3.52167   
3.54      0.0123623 1.00053     3.52169   
3.55      0.0123499 0.99432     3.5217    
3.56      0.0123382 0.988152    3.52172   
3.57      0.0123271 0.982022    3.52173   
3.58      0.0123166 0.97593     3.52174   
3.59      0.0123067 0.969876    3.52176   
3.6       0.0122973 0.963859    3.52177   
3.61      0.0122886 0.95788     3.52178   
3.62      0.0122804 0.951938    3.5218    
3.63      0.0122728 0.946032    3.52181   
3.64      0.0122657 0.940164    3.52182   
3.65      0.0122593 0.934331    3.52183   
3.66      0.0122534 0.928535    3.52185   
3.67      0.012248  0.922775    3.52186   
3.68      0.0122432 0.91705     3.52187   
3.69      0.0122389 0.911361    3.52189   
3.7       0.0122352 0.905707    3.5219    
3.71      0.012232  0.900089    3.52191   
3.72      0.0122294 0.894505    3.52193   
3.73      0.0122273 0.888956    3.52194   
3.74      0.0122257 0.883441    3.52195   
3.75      0.0122247 0.87796     3.52197   
3.76      0.0122241 0.872513    3.52198   
3.77      0.0122241 0.867101    3.52199   
3.78      0.0122246 0.861721    3.52201   
3.79      0.0122256 0.856376    3.52202   
3.8       0.0122271 0.851063    3.52203   
3.81      0.0122292 0.845783    3.52204   
3.82      0.0122317 0.840536    3.52206   
3.83      0.0122347 0.835322    3.52207   
3.84      0.0122382 0.83014     3.52208   
3.85      0.0122422 0.82499     3.5221    
3.86      0.0122468 0.819872    3.52211   
3.87      0.0122518 0.814786    3.52212   
3.88      0.0122572 0.809731    3.52214   
3.89      0.0122632 0.804708    3.52215   
3.9       0.0122697 0.799716    3.52216   
3.91      0.0122766 0.794755    3.52218   
3.92      0.012284  0.789824    3.52219   
3.93      0.0122919 0.784925    3.5222    
3.94      0.0123002 0.780055    3.52222   
3.95      0.0123091 0.775216    3.52223   
3.96      0.0123184 0.770407    3.52224   
3.97      0.0123281 0.765628    3.52226   
3.98      0.0123384 0.760878    3.52227   
3.99      0.0123491 0.756158    3.52228   
4         0.0123602 0.751468    3.5223    
4.01      0.0123719 0.746806    3.52231   
4.02      0.0123839 0.742173    3.52232   
4.03      0.0123965 0.73757     3.52234   
4.04      0.0124095 0.732994    3.52235   
4.05      0.0124229 0.728447    3.52236   
4.06      0.0124368 0.723929    3.52238   
