- Read data: 1001
Preys: 10	Predators: 10	H: 423.358
Preys: 1.44335e-05	Predators: 0.208473	H: 512.257
Preys: 1.45261e-05	Predators: 0.1993	H: 512.268
Preys: 1.46222e-05	Predators: 0.190531	H: 512.28
Preys: 1.47217e-05	Predators: 0.182148	H: 512.292
Preys: 1.48246e-05	Predators: 0.174133	H: 512.304
Preys: 1.49309e-05	Predators: 0.166471	H: 512.316
Preys: 1.50405e-05	Predators: 0.159147	H: 512.329
Preys: 1.51533e-05	Predators: 0.152144	H: 512.341
Preys: 1.52692e-05	Predators: 0.14545	H: 512.353
Preys: 1.53883e-05	Predators: 0.13905	H: 512.365
Preys: 1.55105e-05	Predators: 0.132932	H: 512.378
Preys: 1.56358e-05	Predators: 0.127083	H: 512.39
Preys: 1.57641e-05	Predators: 0.121492	H: 512.403
Preys: 1.58953e-05	Predators: 0.116146	H: 512.415
Preys: 1.60296e-05	Predators: 0.111036	H: 512.428
Preys: 1.61667e-05	Predators: 0.10615	H: 512.44
Preys: 1.63068e-05	Predators: 0.10148	H: 512.453
Preys: 1.64498e-05	Predators: 0.0970146	H: 512.465
Preys: 1.65956e-05	Predators: 0.0927461	H: 512.478
Preys: 1.67443e-05	Predators: 0.0886653	H: 512.491
Preys: 1.68958e-05	Predators: 0.0847641	H: 512.504
Preys: 1.70502e-05	Predators: 0.0810345	H: 512.516
Preys: 1.72073e-05	Predators: 0.077469	H: 512.529
Preys: 1.73673e-05	Predators: 0.0740604	H: 512.542
Preys: 1.753e-05	Predators: 0.0708018	H: 512.555
Preys: 1.76956e-05	Predators: 0.0676866	H: 512.568
Preys: 1.78639e-05	Predators: 0.0647084	H: 512.581
Preys: 1.80349e-05	Predators: 0.0618613	H: 512.594
Preys: 1.82088e-05	Predators: 0.0591394	H: 512.607
Preys: 1.83854e-05	Predators: 0.0565373	H: 512.62
Preys: 1.85648e-05	Predators: 0.0540497	H: 512.633
Preys: 1.87469e-05	Predators: 0.0516715	H: 512.646
Preys: 1.89318e-05	Predators: 0.049398	H: 512.659
Preys: 1.91195e-05	Predators: 0.0472245	H: 512.672
Preys: 1.93099e-05	Predators: 0.0451467	H: 512.685
Preys: 1.95032e-05	Predators: 0.0431603	H: 512.698
Preys: 1.96992e-05	Predators: 0.0412612	H: 512.712
Preys: 1.9898e-05	Predators: 0.0394458	H: 512.725
Preys: 2.00996e-05	Predators: 0.0377102	H: 512.738
Preys: 2.0304e-05	Predators: 0.036051	H: 512.751
Preys: 2.05112e-05	Predators: 0.0344648	H: 512.765
Preys: 2.07213e-05	Predators: 0.0329483	H: 512.778
Preys: 2.09342e-05	Predators: 0.0314986	H: 512.791
Preys: 2.115e-05	Predators: 0.0301127	H: 512.804
Preys: 2.13686e-05	Predators: 0.0287878	H: 512.818
Preys: 2.15902e-05	Predators: 0.0275211	H: 512.831
Preys: 2.18146e-05	Predators: 0.0263102	H: 512.844
Preys: 2.20419e-05	Predators: 0.0251526	H: 512.858
Preys: 2.22722e-05	Predators: 0.0240459	H: 512.871
Preys: 2.25054e-05	Predators: 0.0229879	H: 512.884
Preys: 2.27416e-05	Predators: 0.0219764	H: 512.898
Preys: 2.29807e-05	Predators: 0.0210095	H: 512.911
Preys: 2.32229e-05	Predators: 0.0200851	H: 512.925
Preys: 2.34681e-05	Predators: 0.0192014	H: 512.938
Preys: 2.37163e-05	Predators: 0.0183565	H: 512.951
Preys: 2.39676e-05	Predators: 0.0175488	H: 512.965
Preys: 2.4222e-05	Predators: 0.0167767	H: 512.978
Preys: 2.44795e-05	Predators: 0.0160385	H: 512.992
Preys: 2.47402e-05	Predators: 0.0153329	H: 513.005
Preys: 2.5004e-05	Predators: 0.0146582	H: 513.019
Preys: 2.52709e-05	Predators: 0.0140133	H: 513.032
Preys: 2.55411e-05	Predators: 0.0133967	H: 513.045
Preys: 2.58145e-05	Predators: 0.0128073	H: 513.059
Preys: 2.60912e-05	Predators: 0.0122438	H: 513.072
Preys: 2.63712e-05	Predators: 0.011705	H: 513.086
Preys: 2.66545e-05	Predators: 0.01119	H: 513.099
Preys: 2.69411e-05	Predators: 0.0106977	H: 513.113
Preys: 2.72312e-05	Predators: 0.010227	H: 513.126
Preys: 2.75246e-05	Predators: 0.00977701	H: 513.14
Preys: 2.78214e-05	Predators: 0.00934683	H: 513.153
Preys: 2.81217e-05	Predators: 0.00893558	H: 513.167
Preys: 2.84255e-05	Predators: 0.00854242	H: 513.18
Preys: 2.87329e-05	Predators: 0.00816656	H: 513.194
Preys: 2.90438e-05	Predators: 0.00780724	H: 513.208
Preys: 2.93583e-05	Predators: 0.00746373	H: 513.221
Preys: 2.96764e-05	Predators: 0.00713533	H: 513.235
Preys: 2.99982e-05	Predators: 0.00682139	H: 513.248
Preys: 3.03237e-05	Predators: 0.00652125	H: 513.262
Preys: 3.06529e-05	Predators: 0.00623432	H: 513.275
Preys: 3.09858e-05	Predators: 0.00596002	H: 513.289
Preys: 3.13226e-05	Predators: 0.00569778	H: 513.302
Preys: 3.16632e-05	Predators: 0.00544709	H: 513.316
Preys: 3.20077e-05	Predators: 0.00520742	H: 513.329
Preys: 3.23562e-05	Predators: 0.0049783	H: 513.343
Preys: 3.27085e-05	Predators: 0.00475926	H: 513.357
Preys: 3.30649e-05	Predators: 0.00454986	H: 513.37
Preys: 3.34253e-05	Predators: 0.00434967	H: 513.384
Preys: 3.37898e-05	Predators: 0.00415829	H: 513.397
Preys: 3.41584e-05	Predators: 0.00397533	H: 513.411
Preys: 3.45311e-05	Predators: 0.00380042	H: 513.424
Preys: 3.49081e-05	Predators: 0.0036332	H: 513.438
Preys: 3.52893e-05	Predators: 0.00347335	H: 513.452
Preys: 3.56748e-05	Predators: 0.00332052	H: 513.465
Preys: 3.60646e-05	Predators: 0.00317443	H: 513.479
Preys: 3.64588e-05	Predators: 0.00303475	H: 513.492
Preys: 3.68574e-05	Predators: 0.00290123	H: 513.506
Preys: 3.72605e-05	Predators: 0.00277358	H: 513.519
Preys: 3.76681e-05	Predators: 0.00265154	H: 513.533
Preys: 3.80802e-05	Predators: 0.00253488	H: 513.547
Preys: 3.8497e-05	Predators: 0.00242335	H: 513.56
