Total states: 66001
Time      Preys     Predators   H         
0.153     10.7932   5.02987     -2.412    
0.154     10.7986   5.03027     -2.412    
0.155     10.8039   5.03067     -2.412    
0.156     10.8093   5.03108     -2.412    
0.157     10.8147   5.03149     -2.412    
0.158     10.82     5.0319      -2.412    
0.159     10.8254   5.03231     -2.412    
0.16      10.8308   5.03272     -2.412    
0.161     10.8362   5.03314     -2.412    
0.162     10.8416   5.03356     -2.412    
0.163     10.8469   5.03399     -2.412    
0.164     10.8523   5.03441     -2.412    
0.165     10.8577   5.03484     -2.412    
0.166     10.8631   5.03527     -2.412    
0.167     10.8685   5.03571     -2.412    
0.168     10.8739   5.03615     -2.412    
0.169     10.8793   5.03659     -2.412    
0.17      10.8847   5.03703     -2.412    
0.171     10.8901   5.03747     -2.412    
0.172     10.8955   5.03792     -2.412    
0.173     10.9009   5.03837     -2.412    
0.174     10.9063   5.03883     -2.412    
0.175     10.9117   5.03928     -2.412    
0.176     10.9171   5.03974     -2.412    
0.177     10.9226   5.04021     -2.412    
0.178     10.928    5.04067     -2.412    
0.179     10.9334   5.04114     -2.412    
0.18      10.9388   5.04161     -2.412    
0.181     10.9442   5.04208     -2.412    
0.182     10.9497   5.04256     -2.412    
0.183     10.9551   5.04304     -2.412    
0.184     10.9605   5.04352     -2.412    
0.185     10.966    5.044       -2.412    
0.186     10.9714   5.04449     -2.412    
0.187     10.9768   5.04498     -2.412    
0.188     10.9823   5.04547     -2.412    
0.189     10.9877   5.04597     -2.412    
0.19      10.9932   5.04647     -2.412    
0.191     10.9986   5.04697     -2.412    
0.192     11.0041   5.04747     -2.412    
0.193     11.0095   5.04798     -2.412    
0.194     11.015    5.04849     -2.412    
0.195     11.0204   5.049       -2.412    
0.196     11.0259   5.04952     -2.412    
0.197     11.0313   5.05004     -2.412    
0.198     11.0368   5.05056     -2.412    
0.199     11.0422   5.05108     -2.412    
0.2       11.0477   5.05161     -2.412    
0.201     11.0532   5.05214     -2.412    
0.202     11.0586   5.05267     -2.412    
0.203     11.0641   5.0532      -2.412    
0.204     11.0696   5.05374     -2.412    
0.205     11.0751   5.05428     -2.412    
0.206     11.0805   5.05482     -2.412    
0.207     11.086    5.05537     -2.412    
0.208     11.0915   5.05592     -2.412    
0.209     11.097    5.05647     -2.412    
0.21      11.1025   5.05703     -2.412    
0.211     11.108    5.05758     -2.412    
0.212     11.1134   5.05814     -2.412    
0.213     11.1189   5.05871     -2.412    
0.214     11.1244   5.05927     -2.412    
0.215     11.1299   5.05984     -2.412    
0.216     11.1354   5.06041     -2.412    
0.217     11.1409   5.06099     -2.412    
0.218     11.1464   5.06157     -2.412    
0.219     11.1519   5.06215     -2.412    
0.22      11.1574   5.06273     -2.412    
0.221     11.163    5.06332     -2.412    
0.222     11.1685   5.0639      -2.412    
0.223     11.174    5.0645      -2.41199  
0.224     11.1795   5.06509     -2.41199  
0.225     11.185    5.06569     -2.41199  
0.226     11.1905   5.06629     -2.41199  
0.227     11.196    5.06689     -2.41199  
0.228     11.2016   5.0675      -2.41199  
0.229     11.2071   5.06811     -2.41199  
0.23      11.2126   5.06872     -2.41199  
0.231     11.2182   5.06933     -2.41199  
0.232     11.2237   5.06995     -2.41199  
0.233     11.2292   5.07057     -2.41199  
0.234     11.2348   5.07119     -2.41199  
0.235     11.2403   5.07182     -2.41199  
0.236     11.2458   5.07245     -2.41199  
0.237     11.2514   5.07308     -2.41199  
0.238     11.2569   5.07372     -2.41199  
0.239     11.2625   5.07435     -2.41199  
0.24      11.268    5.07499     -2.41199  
0.241     11.2736   5.07564     -2.41199  
0.242     11.2791   5.07628     -2.41199  
0.243     11.2847   5.07693     -2.41199  
0.244     11.2902   5.07759     -2.41199  
0.245     11.2958   5.07824     -2.41199  
0.246     11.3013   5.0789      -2.41199  
0.247     11.3069   5.07956     -2.41199  
0.248     11.3125   5.08022     -2.41199  
0.249     11.318    5.08089     -2.41199  
0.25      11.3236   5.08156     -2.41199  
0.251     11.3292   5.08223     -2.41199  
0.252     11.3347   5.08291     -2.41199  
0.253     11.3403   5.08359     -2.41199  
0.254     11.3459   5.08427     -2.41199  
0.255     11.3515   5.08495     -2.41199  
0.256     11.357    5.08564     -2.41199  
0.257     11.3626   5.08633     -2.41199  
0.258     11.3682   5.08702     -2.41199  
0.259     11.3738   5.08772     -2.41199  
0.26      11.3794   5.08842     -2.41199  
0.261     11.385    5.08912     -2.41199  
